period_end,realized_vol_ann,month_ret,n_days
2017-09-30,0.16665709770122633,0.0036965679700655674,21
2017-10-31,0.16486586978938875,-0.043003183605891504,17
2017-11-30,0.19026122058684636,-0.0216088175073208,22
2017-12-31,0.15869880992129215,-0.011346691532385322,21
2018-01-31,0.15151343582441143,0.038708874727413134,22
2018-02-28,0.27472171327403716,-0.0497768892204935,15
2018-03-31,0.24629498332362457,-0.012302356626735733,22
2018-04-30,0.16626835057706116,-0.04084400897413831,18
2018-05-31,0.14599459625492317,-0.010233625340048902,22
2018-06-30,0.2983843416280296,-0.06995690072325433,20
2018-07-31,0.20093590861513647,0.03583137567284611,22
2018-08-31,0.2177329589350221,-0.0628583873866212,23
2018-09-30,0.14599284482914252,-0.0035980036445375507,19
2018-10-31,0.38716515187184214,-0.06052272526088365,18
2018-11-30,0.2898957995189673,0.055429900608953364,22
2018-12-31,0.15989365374736264,-0.04761954691769377,20
2019-01-31,0.17070691482230196,0.011682128629109334,22
2019-02-28,0.21449083990779144,0.17833225134857544,15
2019-03-31,0.2920513941180945,0.11770352492118841,21
2019-04-30,0.27702847443204254,-0.041732335577450486,21
2019-05-31,0.22289867050033357,-0.016729168596090416,20
2019-06-30,0.20182488317864478,0.02791689225485028,19
2019-07-31,0.14097239690698732,-0.028290119160249705,23
2019-08-31,0.22923134071753015,-0.020734165681948635,22
2019-09-30,0.1542713764166568,0.01819022759292599,20
2019-10-31,0.14832803082576304,0.021713092888343555,18
2019-11-30,0.15932817312782818,-0.0040417504680713146,21
2019-12-31,0.10639278633727864,0.07885437791299554,22
2020-01-31,0.4883280450380038,-0.12049823975150453,16
2020-02-29,0.34256072013284217,0.07635706962014077,20
2020-03-31,0.4331929931268564,-0.0030306300913773843,22
2020-04-30,0.18791511458424054,0.02573915276602401,21
2020-05-31,0.12523044584735424,0.055550427161443094,18
2020-06-30,0.1648871783900143,0.07290451966651723,20
2020-07-31,0.40288698888920815,0.17139076899164563,23
2020-08-31,0.18381486140318914,0.02370089248612972,21
2020-09-30,0.18553485584916934,-0.04907457576883656,22
2020-10-31,0.167835001837198,-0.017972482371431564,16
2020-11-30,0.1479209848791774,0.07508381721197144,21
2020-12-31,0.16588681575251382,-0.003906557030503466,23
2021-01-31,0.13227113082783962,-0.0347693143404294,20
2021-02-28,0.2201166767378943,0.07742115028801799,15
2021-03-31,0.21946602946134738,0.06636219351147687,23
2021-04-30,0.1347937473720984,-0.02257343848410487,21
2021-05-31,0.09497859968845838,0.042777429694941915,18
2021-06-30,0.0986046147807858,0.030877097380906715,21
2021-07-31,0.16886215597232568,-0.007287166876533302,22
2021-08-31,0.13936387652198903,0.13317345465146913,22
2021-09-30,0.3319347519912409,0.03871229053794356,20
2021-10-31,0.14749357797545834,-0.06953156340175604,16
2021-11-30,0.14707905929233123,0.02019278687660364,22
2021-12-31,0.13603651523216503,0.07993549940787048,23
2022-01-31,0.19095093872155283,-0.04370868492834712,19
2022-02-28,0.2000624698910712,0.055894201619568484,16
2022-03-31,0.26863278544059893,-0.00011065855886560616,23
2022-04-30,0.367912275737494,-0.07337050581842242,19
2022-05-31,0.22258573198381082,0.09201738194591447,19
2022-06-30,0.14701896085469005,0.017640207026978105,21
2022-07-31,0.1830093067583035,0.014867896404917369,21
2022-08-31,0.22373860172594773,0.022160716492325427,23
2022-09-30,0.22412880489733153,-0.058703998816390324,21
